version	doi	APN	BEKANN1	BEKANN4	BEKANN5	BEKANN9	BEKANN6	BEKANN7	BEKANN8	BEKANN12	BEKANN11	BEKANN16	BEKANN15	BEKANN17	BEKANN18	BEKANN19	BEKANN20	BEKANN21	BEKANN13	BEKANN22	BEKANN2	BEKANN23	BEKANN24	BEKANN25	BEKANN27	BEKANN28	BEKANN26	BEKANN3	BEKANN29	BEKANN30	BEKANN14	BEKANN31	EUBESUCH	BESUCH1	BESUCH4	BESUCH5	BESUCH9	BESUCH6	BESUCH7	BESUCH8	BESUCH12	BESUCH11	BESUCH16	BESUCH15	BESUCH17	BESUCH18	BESUCH19	BESUCH20	BESUCH21	BESUCH13	BESUCH22	BESUCH2	BESUCH23	BESUCH24	BESUCH25	BESUCH27	BESUCH28	BESUCH26	BESUCH3	BESUCH29	BESUCH30	BESUCH14	BESUCH31	PLAN1	PLAN4	PLAN5	PLAN9	PLAN6	PLAN7	PLAN8	PLAN12	PLAN11	PLAN16	PLAN15	PLAN17	PLAN18	PLAN19	PLAN20	PLAN21	PLAN13	PLAN22	PLAN2	PLAN23	PLAN24	PLAN25	PLAN27	PLAN28	PLAN26	PLAN3	PLAN29	PLAN30	PLAN14	PLAN31	EUROPLAN	ADAUER	BRDDAUER	CHDAUER	AEIG1	AEIG2	AEIG3	AEIG4	AEIG5	AEIG6	AEIG7	AEIG8	AEIG9	AEIG10	AEIG11	AEIG12	BRDEIG1	BRDEIG2	BRDEIG3	BRDEIG4	BRDEIG5	BRDEIG6	BRDEIG7	BRDEIG8	BRDEIG9	BRDEIG10	BRDEIG11	BRDEIG12	CHEIG1	CHEIG2	CHEIG3	CHEIG4	CHEIG5	CHEIG6	CHEIG7	CHEIG8	CHEIG9	CHEIG10	CHEIG11	CHEIG12	KEIEIG1	KEIEIG2	KEIEIG3	KEIEIG4	KEIEIG5	KEIEIG6	KEIEIG7	KEIEIG8	KEIEIG9	KEIEIG10	KEIEIG11	KEIEIG12	ACAR1	ACAR2	ACAR3	ACAR4	ACAR5	ACAR7	ACAR8	ACAR9	ACAR10	ACAR11	ACAR12	ACAR15	ACAR16	ACAR17	ACAR22	ACAR23	ACAR28	BRDCAR1	BRDCAR2	BRDCAR3	BRDCAR4	BRDCAR5	BRDCAR7	BRDCAR8	BRDCAR9	BRDCAR10	BRDCAR11	BRDCAR12	BRDCAR15	BRDCAR16	BRDCAR17	BRDCAR22	BRDCAR23	BRDCAR28	CHCAR1	CHCAR2	CHCAR3	CHCAR4	CHCAR5	CHCAR7	CHCAR8	CHCAR9	CHCAR10	CHCAR11	CHCAR12	CHCAR15	CHCAR16	CHCAR17	CHCAR22	CHCAR23	CHCAR28	KEICAR1	KEICAR2	KEICAR3	KEICAR4	KEICAR5	KEICAR7	KEICAR8	KEICAR9	KEICAR10	KEICAR11	KEICAR12	KEICAR15	KEICAR16	KEICAR17	KEICAR22	KEICAR23	KEICAR28	BEKBIL1	BEKBIL2	BEKBIL3	BEKBIL4	BEKBIL5	BEKBIL6	BEKBIL7	BEKBIL8	BEKBIL9	BEKBIL10	BEKBIL11	BEKBIL12	BEKBIL13	BEKBIL14	BEKBIL15	BEKBIL16	BEKBIL17	BEKBIL18	BEKBIL19	BEKBIL20	BEKBIL21	BEKBIL22	BEKBIL23	BEKBIL24	BEKBIL25	BEKBIL26	BEKBIL27	BEKBIL28	BEKBIL29	BEKBIL30	BEKBIL31	BEKBIL32	BEKBIL33	BEKBIL34	ABIL1	ABIL2	ABIL3	ABIL4	ABIL5	ABIL6	ABIL7	ABIL8	ABIL9	ABIL10	ABIL11	ABIL12	ABIL13	ABIL14	ABIL15	ABIL16	ABIL17	ABIL18	ABIL19	ABIL20	ABIL21	ABIL22	ABIL23	ABIL24	ABIL25	ABIL26	ABIL27	ABIL28	ABIL29	ABIL30	ABIL31	ABIL32	ABIL33	ABIL34	BRDBIL1	BRDBIL2	BRDBIL3	BRDBIL4	BRDBIL5	BRDBIL6	BRDBIL7	BRDBIL8	BRDBIL9	BRDBIL10	BRDBIL11	BRDBIL12	BRDBIL13	BRDBIL14	BRDBIL15	BRDBIL16	BRDBIL17	BRDBIL18	BRDBIL19	BRDBIL20	BRDBIL21	BRDBIL22	BRDBIL23	BRDBIL24	BRDBIL25	BRDBIL26	BRDBIL27	BRDBIL28	BRDBIL29	BRDBIL30	BRDBIL31	BRDBIL32	BRDBIL33	BRDBIL34	CHBIL1	CHBIL2	CHBIL3	CHBIL4	CHBIL5	CHBIL6	CHBIL7	CHBIL8	CHBIL9	CHBIL10	CHBIL11	CHBIL12	CHBIL13	CHBIL14	CHBIL15	CHBIL16	CHBIL17	CHBIL18	CHBIL19	CHBIL20	CHBIL21	CHBIL22	CHBIL23	CHBIL24	CHBIL25	CHBIL26	CHBIL27	CHBIL28	CHBIL29	CHBIL30	CHBIL31	CHBIL32	CHBIL33	CHBIL34	KEIBIL1	KEIBIL2	KEIBIL3	KEIBIL4	KEIBIL5	KEIBIL6	KEIBIL7	KEIBIL8	KEIBIL9	KEIBIL10	KEIBIL11	KEIBIL12	KEIBIL13	KEIBIL14	KEIBIL15	KEIBIL16	KEIBIL17	KEIBIL18	KEIBIL19	KEIBIL20	KEIBIL21	KEIBIL22	KEIBIL23	KEIBIL24	KEIBIL25	KEIBIL26	KEIBIL27	KEIBIL28	KEIBIL29	KEIBIL30	KEIBIL31	KEIBIL32	KEIBIL33	KEIBIL34	FREQ1	FREQ6	FREQ2	FREQ3	FREQ4	FREQ5	MASCH1	MASCH6	MASCH3	MASCH5	SKI1	SKI2	SKI3	SKI4	FOOD1	FOOD2	FOOD4	FOOD7	WEIN1	WEIN6	WEIN7	WEIN3	WEIN4	KLASS1	KLASS2	KLASS3	KLASS8	POP1	POP2	POP3	POP4	ABEV1	ABEV2	ABEV3	ABEV4	ABEV5	ABEV6	BRDBEV1	BRDBEV2	BRDBEV3	BRDBEV4	BRDBEV5	BRDBEV6	CHBEV1	CHBEV2	CHBEV3	CHBEV4	CHBEV5	CHBEV6	SPBEK2	SPBEK26	SPBEK25	SPBEK5	SPBEK6	SPBEK10	SPBEK27	SPBEK28	SPBEK9	SPBEK11	SPBEK29	SPBEK12	SPBEK13	SPBEK14	SPBEK15	SPBEK16	SPBEK17	SPBEK18	GSBEK2	GSBEK26	GSBEK25	GSBEK5	GSBEK6	GSBEK10	GSBEK27	GSBEK28	GSBEK9	GSBEK11	GSBEK29	GSBEK12	GSBEK13	GSBEK14	GSBEK15	GSBEK16	GSBEK17	GSBEK18	AUSTR2	AUSTR26	AUSTR25	AUSTR5	AUSTR6	AUSTR10	AUSTR27	AUSTR28	AUSTR9	AUSTR11	AUSTR29	AUSTR12	AUSTR13	AUSTR14	AUSTR15	AUSTR16	AUSTR17	AUSTR18	SEX	ALTER	FSTAND	KONFESS	BILDUNG	ARTBER	STELLUNG	PERSONEN	EIGEINKOM	EINKOMM	ORT	ORTGR	DAUER
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	51	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	4	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	2	2	3	6	3	4	5	-1	-1	-1	-1	3	2	1	4	4	6	5	3	2	3	5	5	5	6	2	2	7	2	2	3	1	3	3	4	3	3	3	4	2	3	2	4	2	2	3	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3	2	2	4	1	3	3	2	4	6	7	35
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	52	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	5	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	4	4	3	-1	-1	-1	-1	-1	-1	-1	-1	2	3	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	4	3	1	1	4	1	2	2	3	3	3	4	4	1	2	2	3	3	2	3	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	1	1	1	3	2	2	4	6	7	30
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	53	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	2	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	2	2	1	4	1	2	5	2	4	3	5	4	3	2	5	3	6	4	2	1	2	1	4	5	6	2	1	6	2	1	3	2	2	3	1	1	3	3	3	2	2	2	3	1	3	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	3	1	7	3	2	2	3	3	7	50
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	54	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	3	3	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	3	3	2	3	1	4	5	3	6	2	5	3	2	3	-1	2	4	4	2	1	2	1	4	5	-1	2	2	5	2	2	3	2	3	3	2	2	4	3	4	2	3	3	3	3	3	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	3	4	1	8	4	2	4	3	7	25
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	55	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	4	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	2	5	2	2	3	1	3	2	1	3	2	2	3	3	2	2	4	2	2	3	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	5	2	2	1	2	9	4	3	3	3	2	40
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	56	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	2	2	6	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	2	1	5	1	2	3	3	4	3	5	3	2	3	-1	3	4	4	2	2	3	2	5	5	5	2	1	-1	2	2	3	2	3	2	2	3	2	3	3	1	3	2	3	1	2	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	4	5	1	3	3	3	3	4	35
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	57	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	2	4	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	2	2	3	4	2	4	3	-1	-1	-1	-1	-1	-1	-1	-1	3	4	2	2	1	3	4	3	6	3	2	1	4	2	2	4	1	3	3	3	3	4	4	3	2	3	2	3	2	3	4	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	2	1	4	2	2	4	2	4	3	7	30
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	58	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	10	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	5	3	4	6	5	3	2	2	3	2	6	3	5	2	4	3	-1	4	5	2	2	2	5	6	6	2	1	5	2	2	4	2	4	3	2	2	4	3	4	1	2	2	4	3	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	5	2	1	4	1	6	3	2	2	3	4	40
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	59	0	1	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	4	2	4	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	2	2	1	6	2	4	5	4	6	5	5	4	4	5	4	3	6	6	3	4	2	2	4	5	6	2	1	5	2	2	3	2	4	3	2	2	3	3	4	2	2	2	3	3	4	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	2	1	4	2	8	4	2	4	3	4	35
"1.0 (2023-04-18)"	"doi:10.11587/YDTESU"	60	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	4	3	3	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	2	2	4	6	3	5	5	4	6	4	6	-1	-1	-1	-1	4	6	5	2	3	3	5	5	4	-1	-1	-1	-1	2	1	4	1	3	3	3	2	4	3	4	2	2	2	3	2	3	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	3	2	1	4	1	3	4	2	4	3	3	30
